"","year","states","type","average_price","total_volume","type4046","type4225","type4770","total_bags","small_bags","large_bags","xlarge_bags"
"55",2018,"Northeast","conventional",1.27102040816327,263030445.61,17414755.26,167477100.95,559626.96,77578962.44,64347157.66,12703578.13,528226.65
"56",2018,"Northeast","organic",1.62285714285714,14926729.46,1403968.25,2600928.74,29351.82,10892480.65,9658925.32,1233555.33,0
"57",2018,"Plains","conventional",1.10795918367347,107521568.06,45771729.34,28027585.13,580564.55,33141689.04,29317912.54,3526372.67,297403.83
"58",2018,"Plains","organic",1.45489795918367,3689641.79,289050.67,595457.13,805.11,2789848.52,2200862.51,588983.3,2.71
"59",2018,"South Central","conventional",0.82469387755102,356896925.04,163977991.28,55447953.79,1660084.76,135810895.21,102409877.32,31977265.98,1423751.91
"60",2018,"South Central","organic",1.37857142857143,7398724.53,1294539.74,257957.96,30.46,5846196.37,4958363.51,887832.86,0
"61",2018,"Southeast","conventional",1.12265306122449,240433820.87,136256835.4,18013244.07,851108.56,85312632.84,50097824.02,33970635.05,1244173.77
"62",2018,"Southeast","organic",1.45061224489796,5958651.14,90118.84,973018.98,4749.77,4890763.55,4078140.99,812622.56,0
"63",2018,"West","conventional",1.05367346938776,340234711.27,101234400.85,87690239.78,6380778.84,144929291.8,61299486.34,82875005.52,754799.94
"64",2018,"West","organic",1.64795918367347,14249037.95,1720342.79,3067579.39,8838.02,9452277.75,5435394.61,4011486.36,5396.78
"65",2019,"California","conventional",1.26576923076923,332946288,95181086.37,89348978.72,8547362.21,139868861.7,104185208.22,25404616.93,10279037.55
"66",2019,"California","organic",1.85711538461538,11541904.56,2060874.15,2745852.59,652.06,6734525.76,6389446.42,343844.41,1233.93
"67",2019,"Great Lakes","conventional",1.16307692307692,207162842.13,37511578.49,50720669.89,15855211.65,103075385.1,71990225.48,26916944.06,4168215.56
"68",2019,"Great Lakes","organic",1.46865384615385,11016047.68,244736.33,1229797.57,160.5,9536858.11,8318543.09,1218315.02,0
"69",2019,"Midsouth","conventional",1.18961538461538,196379963.95,57495156.41,49959736.48,1562673.69,87362396.37,64486918.79,21924801.08,950677.5
"70",2019,"Midsouth","organic",1.56538461538462,9674005.59,79668.14,1590232.37,10543.83,7993557.24,7211067.51,782491.73,0
"71",2019,"Northeast","conventional",1.33442307692308,272181981.96,13038375.04,177207881.42,1861147.95,80072260.78,56014306.84,23294009.21,763943.73
"72",2019,"Northeast","organic",1.65192307692308,13855308.72,1601597.99,2012480.94,3934.46,10237295.33,8290714.79,1946579.54,0
"73",2019,"Plains","conventional",1.16480769230769,110151348.78,45269397.1,25081265.27,1140013.65,38660672.76,31853362.84,5120319.66,1686992.26
"74",2019,"Plains","organic",1.4325,3576907.56,359805.95,340781.44,11338.49,2864981.68,2476361.71,388620.97,0
"75",2019,"South Central","conventional",0.903461538461538,370122583.26,155349834.64,52490048.67,9011238.31,153271461.64,91415886.9,58809005.49,3046570.25
"76",2019,"South Central","organic",1.45480769230769,7228271.97,1215916.36,180508.87,181861.15,5649983.59,4824460.13,825524.46,0
"77",2019,"Southeast","conventional",1.09769230769231,273837965.35,118281263.22,12625497.57,1241812.84,141689392.72,70570303.81,68638403.71,2480684.2
"78",2019,"Southeast","organic",1.43538461538462,5448028.16,105846.05,580243.3,1664.34,4760275.47,4230811.5,529464.97,0
"79",2019,"West","conventional",1.14115384615385,361619353,93629607.18,72804706.74,6166787.21,189018251.87,82941198.91,104065876.02,2011177.94
"80",2019,"West","organic",1.84942307692308,13834647.31,1090641.03,2538921.47,37201.06,10167883.75,5903195.69,4262092.05,2595.01
"81",2020,"California","conventional",1.17979166666667,357210950.91,102072535.22,47065086.84,9399863.46,198673463.39,105227013.68,76615620.71,16830830
"82",2020,"California","organic",1.774375,17442767.68,1427857.6,1423252.7,1950.67,14589704.71,9434609.27,5155095.44,0
"83",2020,"Great Lakes","conventional",1.02,243115761.99,52938958.87,35947257.32,14001748.34,140227796.46,105044271.58,28411637.08,6771889.8
"84",2020,"Great Lakes","organic",1.41583333333333,12773702.2,312553.15,1136733.72,306.73,11323061.22,5711794.51,5610593.96,673.75
"85",2020,"Midsouth","conventional",1.03520833333333,226642629.74,70876538.43,45196647.22,1045901.33,109523541.76,77870611.6,29943408.36,1709523.8
"86",2020,"Midsouth","organic",1.44583333333333,12679129.02,124400.73,1391027.25,12213.74,11151460.13,7210428.77,3852790.28,88240.08
"87",2020,"Northeast","conventional",1.21666666666667,315847044.07,26889212.41,173604508.69,896935.59,114447524.24,79550564.09,32991548.05,1905413.1
"88",2020,"Northeast","organic",1.67145833333333,14620683.43,1213781.33,1690165.37,23228,11693507.73,10294174.64,1398856.56,476.53
"89",2020,"Plains","conventional",0.995625,123778430.02,51187173.91,23940964.5,175392.28,48474901.33,39401233.81,6564947.4,2508717.12
"90",2020,"Plains","organic",1.368125,3379261.2,517833.07,202465.88,1918.98,2657046.27,2210771.33,446275.94,0
"91",2020,"South Central","conventional",0.789583333333333,404650211.66,153689645.68,46524530.08,8328816.88,196107221.02,122102817.49,70437807.33,3566598.2
"92",2020,"South Central","organic",1.296875,9635261.74,839003.76,113037.85,148707.07,8534513.06,5767505.88,2767007.18,0
"93",2020,"Southeast","conventional",0.973333333333333,293508359.22,131779790.42,12232075.19,280339.95,149215851.48,111209548.01,36436675.9,1569628.57
"94",2020,"Southeast","organic",1.37791666666667,7182992.32,97273.84,456642.09,2678.63,6626398.76,4229458.57,2319162.36,77775.83
"95",2020,"West","conventional",0.99625,407923732.71,92231896.14,50978029.51,1953431,262673652.68,121540760.17,135690098.06,5442794.45
"96",2020,"West","organic",1.57,17885183.24,1266862.56,1537299.87,49685.55,15031334.26,7834647.62,7189611.51,7076.13
