Contiguous U.S. Statewide Average Temperature,,,,,,
Units: Degrees Fahrenheit,,,,,,
Missing: -99,Rank out of 127 Years,,,,,
100,Alabama,202008,80.3,92,1,79.3
100,Alabama,202009,74.4,58,-0.3,74.7
100,Alabama,202010,67,108,3.1,63.9
100,Alabama,202011,58.5,117,5,53.5
100,Alabama,202012,45.9,56,-0.5,46.4
100,Alabama,202101,46.7,84,1.6,45.1
100,Alabama,202102,46.7,48,-1.3,48
100,Alabama,202103,59.6,110,4.5,55.1
100,Alabama,202104,61.6,41,-1.2,62.8
100,Alabama,202105,69.3,34,-1.4,70.7
100,Alabama,202106,77,44,-0.5,77.5
100,Alabama,202107,79.4,41,-0.5,79.9
200,Arizona,201501,45.1,113,4.4,40.7
200,Arizona,201502,52,127,7.3,44.7
200,Arizona,201503,56.3,123,6.8,49.5
200,Arizona,201504,58.4,86,1.7,56.7
200,Arizona,201505,62.9,22,-2.1,65
200,Arizona,201506,78.4,115,4,74.4
200,Arizona,201507,78.6,25,-1.1,79.7
200,Arizona,201508,80.6,120,2.8,77.8
200,Arizona,201509,75,119,3,72
200,Arizona,201510,64.5,113,3.5,61
200,Arizona,201511,48.3,37,-0.9,49.2
200,Arizona,201512,40.9,44,-0.6,41.5
200,Arizona,201601,41.8,73,1.1,40.7
200,Arizona,201602,50.6,124,5.9,44.7
200,Arizona,201603,54.9,118,5.4,49.5
200,Arizona,201604,58.5,90,1.8,56.7
200,Arizona,201605,64.6,49,-0.4,65
200,Arizona,201606,80.3,126,5.9,74.4
200,Arizona,201607,82.4,123,2.7,79.7
200,Arizona,201608,77.5,47,-0.3,77.8
200,Arizona,201609,71.6,43,-0.4,72
200,Arizona,201610,66.1,122,5.1,61
200,Arizona,201611,53.1,118,3.9,49.2
200,Arizona,201612,44.7,111,3.2,41.5
200,Arizona,201701,42.3,86,1.6,40.7
200,Arizona,201702,49.4,119,4.7,44.7
200,Arizona,201703,56.6,125,7.1,49.5
200,Arizona,201704,59.9,107,3.2,56.7
200,Arizona,201705,66.1,78,1.1,65
200,Arizona,201706,79.8,125,5.4,74.4
200,Arizona,201707,81.5,107,1.8,79.7
200,Arizona,201708,79.1,97,1.3,77.8
200,Arizona,201709,72.4,65,0.4,72
200,Arizona,201710,65.1,120,4.1,61
200,Arizona,201711,57.6,126,8.4,49.2
200,Arizona,201712,46.6,122,5.1,41.5
200,Arizona,201801,47.6,126,6.9,40.7
200,Arizona,201802,46.7,90,2,44.7
200,Arizona,201803,52.3,102,2.8,49.5
200,Arizona,201804,62.9,126,6.2,56.7
200,Arizona,201805,68.5,115,3.5,65
200,Arizona,201806,78.6,117,4.2,74.4
200,Arizona,201807,82.3,121,2.6,79.7
200,Arizona,201808,80.2,116,2.4,77.8
200,Arizona,201809,76,126,4,72
200,Arizona,201810,59.9,34,-1.1,61
200,Arizona,201811,49.4,62,0.2,49.2
200,Arizona,201812,42.8,86,1.3,41.5
200,Arizona,201901,42.4,88,1.7,40.7
200,Arizona,201902,40.9,13,-3.8,44.7
200,Arizona,201903,51.7,92,2.2,49.5
200,Arizona,201904,60.3,111,3.6,56.7
200,Arizona,201905,60.7,4,-4.3,65
200,Arizona,201906,75.2,76,0.8,74.4
200,Arizona,201907,81.9,114,2.2,79.7
200,Arizona,201908,81.9,124,4.1,77.8
200,Arizona,201909,73.8,102,1.8,72
200,Arizona,201910,60,36,-1,61
200,Arizona,201911,52.1,102,2.9,49.2
200,Arizona,201912,42.2,75,0.7,41.5
200,Arizona,202001,43.7,102,3,40.7
200,Arizona,202002,45.9,77,1.2,44.7
200,Arizona,202003,51,84,1.5,49.5
200,Arizona,202004,59.3,100,2.6,56.7
200,Arizona,202005,70.5,123,5.5,65
200,Arizona,202006,76.8,98,2.4,74.4
200,Arizona,202007,82.8,126,3.1,79.7
200,Arizona,202008,84.2,126,6.4,77.8
200,Arizona,202009,75.7,125,3.7,72
200,Arizona,202010,66.3,124,5.3,61
200,Arizona,202011,53.6,120,4.4,49.2
200,Arizona,202012,42.1,73,0.6,41.5
200,Arizona,202101,42.8,93,2.1,40.7
200,Arizona,202102,46.6,87,1.9,44.7
200,Arizona,202103,49.6,56,0.1,49.5
200,Arizona,202104,61.2,118,4.5,56.7
200,Arizona,202105,68,104,3,65
200,Arizona,202106,80.7,127,6.3,74.4
200,Arizona,202107,81.4,103,1.7,79.7
300,Arkansas,201501,38.6,51,-0.7,39.3
300,Arkansas,201502,36.1,9,-7,43.1
300,Arkansas,201503,49.7,41,-1.6,51.3
300,Arkansas,201504,62.5,94,2,60.5
300,Arkansas,201505,69.3,75,0.6,68.7
300,Arkansas,201506,78.1,103,1.6,76.5
300,Arkansas,201507,81.9,103,1.6,80.3
300,Arkansas,201508,78.1,36,-1.2,79.3
300,Arkansas,201509,74.8,92,2,72.8
300,Arkansas,201510,63.5,95,1.7,61.8
300,Arkansas,201511,54.2,114,4.4,49.8
300,Arkansas,201512,50,125,8.5,41.5
300,Arkansas,201601,39.5,60,0.2,39.3
300,Arkansas,201602,46.9,103,3.8,43.1
300,Arkansas,201603,55.5,108,4.2,51.3
300,Arkansas,201604,62.5,94,2,60.5
300,Arkansas,201605,67.2,34,-1.4,68.6
300,Arkansas,201606,78.9,112,2.4,76.5
300,Arkansas,201607,82,108,1.7,80.3
300,Arkansas,201608,80,77,0.7,79.3
300,Arkansas,201609,75.8,110,3,72.8
300,Arkansas,201610,67,123,5.2,61.8
300,Arkansas,201611,55.7,122,5.8,49.9
300,Arkansas,201612,42.5,78,1,41.5
300,Arkansas,201701,45.2,118,5.9,39.3
300,Arkansas,201702,52.5,127,9.4,43.1
300,Arkansas,201703,55.7,109,4.4,51.3
300,Arkansas,201704,64.2,115,3.7,60.5
300,Arkansas,201705,67.7,45,-1,68.7
300,Arkansas,201706,75.5,31,-1,76.5
300,Arkansas,201707,80.6,74,0.3,80.3
300,Arkansas,201708,76.9,18,-2.4,79.3
300,Arkansas,201709,73.2,69,0.4,72.8
300,Arkansas,201710,62.9,88,1.1,61.8
300,Arkansas,201711,53.7,107,3.8,49.9
300,Arkansas,201712,42.4,74,0.9,41.5
300,Arkansas,201801,35.7,20,-3.6,39.3
300,Arkansas,201802,45.9,92,2.8,43.1
300,Arkansas,201803,53.9,91,2.6,51.3
300,Arkansas,201804,55.2,3,-5.3,60.5
300,Arkansas,201805,75,127,6.4,68.6
300,Arkansas,201806,80.1,119,3.6,76.5
300,Arkansas,201807,81.8,101,1.5,80.3
300,Arkansas,201808,78.8,52,-0.5,79.3
300,Arkansas,201809,75,97,2.2,72.8
300,Arkansas,201810,62.6,80,0.8,61.8
300,Arkansas,201811,45.8,10,-4,49.8
300,Arkansas,201812,44.2,97,2.7,41.5
300,Arkansas,201901,40.8,79,1.5,39.3
300,Arkansas,201902,46,95,2.9,43.1
300,Arkansas,201903,48.9,33,-2.4,51.3
300,Arkansas,201904,60.8,74,0.3,60.5
300,Arkansas,201905,70.6,97,2,68.6
300,Arkansas,201906,75.6,35,-0.9,76.5
300,Arkansas,201907,79,29,-1.3,80.3
300,Arkansas,201908,80.3,83,1,79.3
300,Arkansas,201909,79.7,125,6.9,72.8
300,Arkansas,201910,60.8,45,-1,61.8
300,Arkansas,201911,46.4,16,-3.4,49.8
300,Arkansas,201912,45.7,113,4.2,41.5
300,Arkansas,202001,43.9,108,4.6,39.3
300,Arkansas,202002,44.4,79,1.3,43.1
300,Arkansas,202003,56.5,114,5.2,51.3
300,Arkansas,202004,58.8,29,-1.7,60.5
300,Arkansas,202005,66.8,25,-1.8,68.6
300,Arkansas,202006,76.4,58,-0.1,76.5
300,Arkansas,202007,81.3,94,1,80.3
300,Arkansas,202008,77.8,31,-1.5,79.3
300,Arkansas,202009,71.8,44,-1,72.8
300,Arkansas,202010,59.5,23,-2.3,61.8
300,Arkansas,202011,54.1,111,4.2,49.9
300,Arkansas,202012,42.7,81,1.2,41.5
300,Arkansas,202101,41.4,91,2.1,39.3
300,Arkansas,202102,34.7,7,-8.4,43.1
300,Arkansas,202103,55.2,103,3.9,51.3
300,Arkansas,202104,58.4,22,-2.1,60.5
300,Arkansas,202105,66.8,25,-1.8,68.6
300,Arkansas,202106,76.8,74,0.3,76.5
300,Arkansas,202107,79.3,40,-1,80.3
400,California,201501,48.6,123,6.3,42.3
400,California,201502,53.2,127,7.9,45.3
400,California,201503,56.9,126,8.1,48.8
400,California,201504,56.7,102,2.7,54
400,California,201505,60.8,53,0.1,60.7
400,California,201506,74.4,126,6.2,68.2
400,California,201507,75,63,0.3,74.7
400,California,201508,76.5,117,2.8,73.7
400,California,201509,72.1,117,3.6,68.5
400,California,201510,65,124,5.5,59.5
400,California,201511,47.6,22,-1.9,49.5
400,California,201512,42.3,47,-0.8,43.1
400,California,201601,44.5,92,2.2,42.3
400,California,201602,51.8,125,6.5,45.3
400,California,201603,52.5,110,3.7,48.8
400,California,201604,57.9,115,3.9,54
400,California,201605,62.2,85,1.5,60.7
400,California,201606,73.5,124,5.2,68.3
400,California,201607,76.8,106,2.1,74.7
400,California,201608,76.2,115,2.5,73.7
400,California,201609,69.5,77,1,68.5
400,California,201610,60.5,82,1,59.5
400,California,201611,52.8,113,3.3,49.5
400,California,201612,43.4,66,0.3,43.1
400,California,201701,42.2,51,-0.1,42.3
400,California,201702,47.3,96,2,45.3
400,California,201703,53.4,117,4.6,48.8
400,California,201704,55.6,86,1.6,54
400,California,201705,63.4,100,2.7,60.7
400,California,201706,72.8,120,4.6,68.2
400,California,201707,78.8,123,4.1,74.7
400,California,201708,77.9,125,4.2,73.7
400,California,201709,69.8,83,1.3,68.5
400,California,201710,62,106,2.5,59.5
400,California,201711,53.4,121,3.9,49.5
400,California,201712,47.5,123,4.4,43.1
400,California,201801,48.9,125,6.6,42.3
400,California,201802,46.6,80,1.3,45.3
400,California,201803,49,69,0.2,48.8
400,California,201804,57.2,106,3.2,54
400,California,201805,63,96,2.3,60.7
400,California,201806,71.4,112,3.2,68.2
400,California,201807,79.6,126,4.9,74.7
400,California,201808,76.4,116,2.7,73.7
400,California,201809,71.1,110,2.6,68.5
400,California,201810,60.9,89,1.4,59.5
400,California,201811,52.6,112,3.1,49.5
400,California,201812,44.8,96,1.7,43.1
400,California,201901,46.1,118,3.8,42.3
400,California,201902,40.6,6,-4.7,45.3
400,California,201903,48.9,66,0.1,48.8
400,California,201904,58.2,120,4.2,54
400,California,201905,58.6,29,-2.1,60.7
400,California,201906,71.1,105,2.8,68.3
400,California,201907,75.5,79,0.8,74.7
400,California,201908,76.8,120,3.1,73.7
400,California,201909,68.9,60,0.4,68.5
400,California,201910,58.8,43,-0.7,59.5
400,California,201911,53,115,3.5,49.5
400,California,201912,44.4,88,1.3,43.1
400,California,202001,45.3,104,3,42.3
400,California,202002,49.2,118,3.9,45.3
400,California,202003,48,41,-0.8,48.8
400,California,202004,56.5,100,2.5,54
400,California,202005,64.6,119,3.9,60.7
400,California,202006,70.4,95,2.2,68.2
400,California,202007,76.6,103,1.9,74.7
400,California,202008,78.8,126,5.1,73.7
400,California,202009,74,126,5.5,68.5
400,California,202010,66.2,126,6.7,59.5
400,California,202011,50.9,80,1.4,49.5
400,California,202012,45.5,106,2.4,43.1
400,California,202101,45.5,110,3.2,42.3
400,California,202102,47.4,98,2.1,45.3
400,California,202103,48.2,51,-0.6,48.8
400,California,202104,58.2,120,4.2,54
400,California,202105,64.5,115,3.8,60.7
400,California,202106,75.1,127,6.8,68.3
400,California,202107,80,127,5.3,74.7
500,Colorado,201501,29.2,115,5.5,23.7
500,Colorado,201502,32.1,113,4.7,27.4
500,Colorado,201503,40.6,122,6.9,33.7
500,Colorado,201504,44.8,101,2.3,42.5
500,Colorado,201505,49.8,26,-2,51.8
500,Colorado,201506,64.9,110,3.7,61.2
500,Colorado,201507,66.6,44,-0.5,67.1
500,Colorado,201508,66.9,105,1.7,65.2
500,Colorado,201509,62.6,125,5.3,57.3
500,Colorado,201510,51.4,122,4.9,46.5
500,Colorado,201511,34.6,72,1.1,33.5
500,Colorado,201512,25.8,60,0.6,25.2
500,Colorado,201601,25.6,82,1.9,23.7
500,Colorado,201602,32.4,116,5,27.4
500,Colorado,201603,37.9,106,4.2,33.7
500,Colorado,201604,43.7,81,1.2,42.5
500,Colorado,201605,50.8,40,-1,51.8
500,Colorado,201606,66.4,124,5.2,61.2
500,Colorado,201607,69.2,106,2.1,67.1
500,Colorado,201608,64.5,32,-0.7,65.2
500,Colorado,201609,59.7,104,2.4,57.3
500,Colorado,201610,51.8,124,5.3,46.5
500,Colorado,201611,40.2,123,6.7,33.5
500,Colorado,201612,25.2,51,0,25.2
500,Colorado,201701,25.3,79,1.6,23.7
500,Colorado,201702,35.4,126,8,27.4
500,Colorado,201703,42.5,127,8.8,33.7
500,Colorado,201704,44.3,93,1.8,42.5
500,Colorado,201705,51.5,49,-0.3,51.8
500,Colorado,201706,64.8,109,3.6,61.2
500,Colorado,201707,69.4,108,2.3,67.1
500,Colorado,201708,64.7,43,-0.5,65.2
500,Colorado,201709,59.1,90,1.8,57.3
500,Colorado,201710,46.7,62,0.2,46.5
500,Colorado,201711,41.3,126,7.8,33.5
500,Colorado,201712,30.1,118,4.9,25.2
500,Colorado,201801,29.7,119,6,23.7
500,Colorado,201802,28.6,75,1.2,27.4
500,Colorado,201803,37.8,104,4.1,33.7
500,Colorado,201804,44,90,1.5,42.5
500,Colorado,201805,57.2,126,5.4,51.8
500,Colorado,201806,66.5,125,5.3,61.2
500,Colorado,201807,70,121,2.9,67.1
500,Colorado,201808,66.2,92,1,65.2
500,Colorado,201809,61.9,123,4.6,57.3
500,Colorado,201810,45,32,-1.5,46.5
500,Colorado,201811,32.5,40,-1,33.5
500,Colorado,201812,26.6,80,1.4,25.2
500,Colorado,201901,26,88,2.3,23.7
500,Colorado,201902,24.9,30,-2.5,27.4
500,Colorado,201903,33.8,60,0.1,33.7
500,Colorado,201904,45.5,111,3,42.5
500,Colorado,201905,47.9,5,-3.9,51.8
500,Colorado,201906,60.6,48,-0.6,61.2
500,Colorado,201907,69.1,104,2,67.1
500,Colorado,201908,68.3,118,3.1,65.2
500,Colorado,201909,62.9,126,5.6,57.3
500,Colorado,201910,40.9,3,-5.6,46.5
500,Colorado,201911,35.2,87,1.7,33.5
500,Colorado,201912,28.1,102,2.9,25.2
500,Colorado,202001,27.5,104,3.8,23.7
500,Colorado,202002,26.4,52,-1,27.4
500,Colorado,202003,38.8,114,5.1,33.7
500,Colorado,202004,43.3,70,0.8,42.5
500,Colorado,202005,55.6,124,3.8,51.8
500,Colorado,202006,65,112,3.8,61.2
500,Colorado,202007,69.3,107,2.2,67.1
500,Colorado,202008,70,126,4.8,65.2
500,Colorado,202009,58.8,87,1.5,57.3
500,Colorado,202010,47.1,75,0.6,46.5
500,Colorado,202011,38.5,120,5,33.5
500,Colorado,202012,26.8,85,1.6,25.2
500,Colorado,202101,26.8,96,3.1,23.7
500,Colorado,202102,24.7,26,-2.7,27.4
500,Colorado,202103,35.8,82,2.1,33.7
500,Colorado,202104,43,59,0.5,42.5
500,Colorado,202105,52.8,78,1,51.8
500,Colorado,202106,65.8,122,4.6,61.2
500,Colorado,202107,69.9,117,2.8,67.1
600,Connecticut,201501,23.3,36,-2.1,25.4
600,Connecticut,201502,15.8,2,-10.5,26.3
600,Connecticut,201503,31,12,-4.4,35.4
600,Connecticut,201504,47,77,1,46
600,Connecticut,201505,62.7,127,5.9,56.8
600,Connecticut,201506,65.3,51,-0.1,65.4
600,Connecticut,201507,72.2,99,1.5,70.7
600,Connecticut,201508,72,116,3.4,68.6
600,Connecticut,201509,67.8,126,6.3,61.5
600,Connecticut,201510,51.4,73,0.4,51
600,Connecticut,201511,46.1,125,5.9,40.2
600,Connecticut,201512,43.5,126,14.3,29.2
600,Connecticut,201601,29.7,107,4.3,25.4
600,Connecticut,201602,32,112,5.7,26.3
600,Connecticut,201603,43.2,124,7.8,35.4
600,Connecticut,201604,46.8,73,0.8,46
600,Connecticut,201605,58.4,87,1.6,56.8
600,Connecticut,201606,67.4,105,2,65.4
600,Connecticut,201607,74.1,119,3.4,70.7
600,Connecticut,201608,73.9,125,5.3,68.6
600,Connecticut,201609,66.2,123,4.7,61.5
600,Connecticut,201610,53.5,103,2.5,51
600,Connecticut,201611,43.5,109,3.3,40.2
600,Connecticut,201612,32.6,98,3.4,29.2
600,Connecticut,201701,32.7,117,7.3,25.4
600,Connecticut,201702,34.6,124,8.3,26.3
600,Connecticut,201703,33.4,38,-2,35.4
600,Connecticut,201704,51.8,126,5.8,46
600,Connecticut,201705,56.7,57,-0.1,56.8
600,Connecticut,201706,67,97,1.6,65.4
600,Connecticut,201707,71.5,85,0.8,70.7
600,Connecticut,201708,69.1,68,0.5,68.6
600,Connecticut,201709,66,121,4.5,61.5
600,Connecticut,201710,58.6,126,7.6,51
600,Connecticut,201711,41,74,0.8,40.2
600,Connecticut,201712,28.7,46,-0.5,29.2
600,Connecticut,201801,25.4,61,0,25.4
600,Connecticut,201802,35.7,127,9.4,26.3
600,Connecticut,201803,36.4,77,1,35.4
600,Connecticut,201804,43.4,18,-2.6,46
600,Connecticut,201805,62.2,125,5.4,56.8
600,Connecticut,201806,66.4,81,1,65.4
600,Connecticut,201807,74,115,3.3,70.7
600,Connecticut,201808,74.3,126,5.7,68.6
600,Connecticut,201809,66.1,122,4.6,61.5
600,Connecticut,201810,52.3,82,1.3,51
600,Connecticut,201811,39.1,42,-1.1,40.2
600,Connecticut,201812,33.8,111,4.6,29.2
600,Connecticut,201901,27,81,1.6,25.4
600,Connecticut,201902,30.2,104,3.9,26.3
600,Connecticut,201903,35,56,-0.4,35.4
600,Connecticut,201904,49.1,110,3.1,46
600,Connecticut,201905,57.1,64,0.3,56.8
600,Connecticut,201906,66.5,84,1.1,65.4
600,Connecticut,201907,74.9,123,4.2,70.7
600,Connecticut,201908,70.6,96,2,68.6
600,Connecticut,201909,63.2,93,1.7,61.5
600,Connecticut,201910,53.6,105,2.6,51
600,Connecticut,201911,38.1,24,-2.1,40.2
600,Connecticut,201912,31.7,84,2.5,29.2
600,Connecticut,202001,33.2,119,7.8,25.4
600,Connecticut,202002,34,121,7.7,26.3
600,Connecticut,202003,41.6,119,6.2,35.4
600,Connecticut,202004,44.5,33,-1.5,46
600,Connecticut,202005,56.4,52,-0.4,56.8
600,Connecticut,202006,68.5,115,3.1,65.4
600,Connecticut,202007,75.7,126,5,70.7
600,Connecticut,202008,72.7,122,4.1,68.6
600,Connecticut,202009,63.5,100,2,61.5
600,Connecticut,202010,53.4,102,2.4,51
600,Connecticut,202011,45.6,121,5.4,40.2
600,Connecticut,202012,33.8,111,4.6,29.2
600,Connecticut,202101,29.3,103,3.9,25.4
600,Connecticut,202102,28.6,83,2.3,26.3
600,Connecticut,202103,39.6,113,4.2,35.4
600,Connecticut,202104,48.9,105,2.9,46
600,Connecticut,202105,57.9,82,1.1,56.8
600,Connecticut,202106,69.7,126,4.3,65.4
600,Connecticut,202107,71.6,88,0.9,70.7
700,Delaware,201501,32.1,47,-1.2,33.3
700,Delaware,201502,26.3,7,-8.1,34.4
700,Delaware,201503,40,28,-2.7,42.7
700,Delaware,201504,54.2,91,2.2,52
700,Delaware,201505,67.9,124,5.8,62.1
700,Delaware,201506,73.6,115,2.9,70.7
700,Delaware,201507,76.9,92,1.4,75.5
700,Delaware,201508,75.1,81,1.4,73.7
700,Delaware,201509,72,122,4.6,67.4
700,Delaware,201510,56.5,56,0.1,56.4
700,Delaware,201511,51.6,124,5.9,45.7
700,Delaware,201512,50.8,126,14.6,36.2
700,Delaware,201601,34.3,75,1,33.3
700,Delaware,201602,38.5,101,4.1,34.4
700,Delaware,201603,49.7,124,7,42.7
700,Delaware,201604,53.1,78,1.1,52
700,Delaware,201605,61.7,54,-0.4,62.1
700,Delaware,201606,72.4,92,1.7,70.7
700,Delaware,201607,79.6,121,4.1,75.5
700,Delaware,201608,78.6,126,4.9,73.7
700,Delaware,201609,72,122,4.6,67.4
700,Delaware,201610,60.3,115,3.9,56.4
700,Delaware,201611,49,107,3.3,45.7
700,Delaware,201612,39.2,94,3,36.2
700,Delaware,201701,39.1,112,5.8,33.3
700,Delaware,201702,44.4,127,10,34.4
700,Delaware,201703,43.8,72,1.1,42.7
700,Delaware,201704,59.6,127,7.6,52
700,Delaware,201705,62.8,71,0.7,62.1
700,Delaware,201706,73.6,115,2.9,70.7
700,Delaware,201707,78.4,114,2.9,75.5
700,Delaware,201708,74,63,0.3,73.7
700,Delaware,201709,69.8,103,2.4,67.4
700,Delaware,201710,62.4,125,6,56.4
700,Delaware,201711,47.5,92,1.8,45.7
700,Delaware,201712,36.1,55,-0.1,36.2
700,Delaware,201801,32.8,54,-0.5,33.3
700,Delaware,201802,43.2,126,8.8,34.4
700,Delaware,201803,40.5,38,-2.2,42.7
700,Delaware,201804,51.6,52,-0.4,52
700,Delaware,201805,68.3,125,6.2,62.1
700,Delaware,201806,72.6,96,1.9,70.7
700,Delaware,201807,77.2,98,1.7,75.5
700,Delaware,201808,78.6,126,4.9,73.7
700,Delaware,201809,73.6,126,6.2,67.4
700,Delaware,201810,60.2,113,3.8,56.4
700,Delaware,201811,45.7,62,0,45.7
700,Delaware,201812,41.4,111,5.2,36.2
700,Delaware,201901,35.3,85,2,33.3
700,Delaware,201902,38.7,104,4.3,34.4
700,Delaware,201903,43.2,66,0.5,42.7
700,Delaware,201904,58.7,126,6.7,52
700,Delaware,201905,66.9,122,4.8,62.1
700,Delaware,201906,73.8,117,3.1,70.7
700,Delaware,201907,79.8,123,4.3,75.5
700,Delaware,201908,76.4,109,2.7,73.7
700,Delaware,201909,71.6,118,4.2,67.4
700,Delaware,201910,61.5,119,5.1,56.4
700,Delaware,201911,43.6,22,-2.1,45.7
700,Delaware,201912,40,103,3.8,36.2
700,Delaware,202001,40.3,118,7,33.3
700,Delaware,202002,41.9,123,7.5,34.4
700,Delaware,202003,49.6,123,6.9,42.7
700,Delaware,202004,52,61,0,52
700,Delaware,202005,60.8,34,-1.3,62.1
700,Delaware,202006,73.7,116,3,70.7
700,Delaware,202007,80.9,127,5.4,75.5
700,Delaware,202008,77.5,121,3.8,73.7
700,Delaware,202009,69,92,1.6,67.4
700,Delaware,202010,60.3,115,3.9,56.4
700,Delaware,202011,52,125,6.3,45.7
700,Delaware,202012,40,103,3.8,36.2
700,Delaware,202101,36.8,100,3.5,33.3
700,Delaware,202102,36.1,81,1.7,34.4
700,Delaware,202103,48.1,118,5.4,42.7
700,Delaware,202104,55.6,113,3.6,52
700,Delaware,202105,63.9,95,1.8,62.1
700,Delaware,202106,74.5,123,3.8,70.7
700,Delaware,202107,78.4,114,2.9,75.5
800,Florida,201501,58.6,81,0.8,57.8
800,Florida,201502,56.5,24,-2.9,59.4
800,Florida,201503,69.5,122,5.5,64
800,Florida,201504,75.1,127,5.8,69.3
800,Florida,201505,77.5,117,2.4,75.1
800,Florida,201506,81.7,118,2.2,79.5
800,Florida,201507,82.8,121,1.8,81
800,Florida,201508,82.4,110,1.4,81
800,Florida,201509,80,96,0.9,79.1
800,Florida,201510,74.4,105,2.1,72.3
800,Florida,201511,72.2,126,7.9,64.3
800,Florida,201512,69.6,126,10.8,58.8
800,Florida,201601,56.9,57,-0.9,57.8
800,Florida,201602,59.4,61,0,59.4
800,Florida,201603,68.8,118,4.8,64
800,Florida,201604,71.2,102,1.9,69.3
800,Florida,201605,76.2,91,1.1,75.1
800,Florida,201606,81.9,121,2.4,79.5
800,Florida,201607,84,127,3,81
800,Florida,201608,83,120,2,81
800,Florida,201609,81.1,123,2,79.1
800,Florida,201610,74.6,107,2.3,72.3
800,Florida,201611,66.6,99,2.3,64.3
800,Florida,201612,65.9,123,7.1,58.8
800,Florida,201701,62.8,115,5,57.8
800,Florida,201702,65.5,121,6.1,59.4
800,Florida,201703,66.2,90,2.2,64
800,Florida,201704,72.3,116,3,69.3
800,Florida,201705,77.1,111,2,75.1
800,Florida,201706,80.2,83,0.7,79.5
800,Florida,201707,82.8,121,1.8,81
800,Florida,201708,82.8,115,1.8,81
800,Florida,201709,80.4,111,1.3,79.1
800,Florida,201710,74.9,110,2.6,72.3
800,Florida,201711,67.4,109,3.1,64.3
800,Florida,201712,61.7,88,2.9,58.8
800,Florida,201801,55,28,-2.8,57.8
800,Florida,201802,69.2,127,9.8,59.4
800,Florida,201803,63,41,-1,64
