order_id,restaurant_id,customer_id,carrier_id,customer_lat,customer_lon,date,time,is_peak_time,is_weekend,carrier_vehicle,shopping_cart,coupon_discount,order_price,shortest_distance_to_customer,travel_time_minutes,restaurant_rating,delivery_charges
ORD033714,REST1563,CUST00443,COUR3882,-37.8009189,145.0073256,2020-02-26,11:16:29,0,0,Motorbike,"[('dal makhani', 1), ('garlic naan', 2), ('chicken biryani', 3), ('murgh ghee roast', 3)]",0,118.64,5429.0,11,,3.7493
ORD252889,REST0538,CUST05697,COUR1405,-37.8144586,144.93750930000002,2020-02-24,00:55:23,0,0,Motorbike,"[('chicken grill', 3), ('biryani', 1), ('dragon chicken', 2)]",0,133.93,,17,,
ORD120417,REST0070,CUST03322,COUR1433,-37.8023092,144.9498347,2020-04-10,05:56:02,0,0,Car,"[('mango salad', 2), ('veg fritters', 2), ('noodles', 3), ('laksa soup', 1)]",0,109.9,2470.0,6,,3.3941
ORD105732,REST0172,CUST07992,COUR4435,-37.8198341,145.01085559999999,2020-03-25,17:08:34,0,0,Car,"[('dahipuri', 3), ('sev puri', 2), ('chaat', 1), ('panipuri', 3)]",45,93.638,9068.0,22,,5.1515
ORD230524,REST1563,CUST06019,COUR1540,-37.7998166,144.93624690000001,2020-12-25,00:47:28,0,0,Motorbike,"[('dal makhani', 2), ('bamboo biryani', 1), ('garlic naan', 2)]",45,39.144,4126.0,8,,3.7051
ORD132525,REST1563,CUST00262,COUR1828,-37.824101500000005,144.9527606,2020-05-03,17:44:10,0,1,Car,"[('dal makhani', 1), ('garlic naan', 3), ('murgh ghee roast', 1), ('bamboo biryani', 1)]",45,36.157,2704.0,6,,4.2721
ORD285668,REST0172,CUST12900,COUR4865,-37.8127901,144.94308519999998,2020-12-04,12:47:28,1,0,Motorbike,"[('bhel puri', 2), ('dahipuri', 3)]",0,74.78,2622.0,5,,5.1085
ORD105542,REST1149,CUST10819,COUR4446,-37.808112,144.9567149,2020-12-13,17:12:31,0,1,Bike,"[('sandwiches', 3), ('chicken sandwich', 1)]",40,44.232,3633.0,18,,5.7089
ORD154622,REST1149,CUST02032,COUR2271,-37.80108320000001,144.9510003,2020-12-31,19:19:07,1,0,Motorbike,"[('masala tea', 1), ('poha', 1), ('french omelette', 1)]",0,47.33,,9,,
ORD122592,REST0538,CUST12845,COUR1838,-37.800219899999995,144.93491930000002,2020-11-16,06:59:20,0,0,Bike,"[('masala papad', 3), ('chicken curry', 3), ('chicken grill', 3)]",0,157.29,10313.0,52,,7.7475
ORD017718,REST1149,CUST06773,COUR4904,-37.803343299999995,144.9695607,2020-07-08,07:19:07,0,0,Bike,"[('omelette', 1), ('french omelette', 3), ('masala tea', 2)]",10,77.283,,15,,
ORD224924,REST0538,CUST11998,COUR3453,-37.8150976,144.9931531,2020-12-18,13:03:17,1,0,Bike,"[('paratha', 2), ('roti', 2), ('dragon chicken', 1), ('chicken grill', 3)]",0,169.62,3653.0,18,,6.1232
ORD282162,REST0538,CUST02146,COUR1539,-37.804626,144.95133930000003,2020-11-20,06:51:25,0,0,Bike,"[('chicken curry', 2), ('paratha', 3), ('chicken grill', 2)]",0,138.56,7001.0,35,,6.1626
ORD299710,REST1563,CUST04943,COUR0505,-37.8120939,144.9738315,2020-04-30,00:35:36,0,0,Motorbike,"[('garlic naan', 3), ('murgh ghee roast', 3), ('dal makhani', 2), ('chicken biryani', 3)]",45,81.769,13.0,0,,2.3663
ORD141412,REST1149,CUST12994,COUR1531,-37.812538599999996,144.95178769999998,2020-01-24,20:14:30,0,0,Car,"[('poha', 3), ('french omelette', 1)]",0,69.99,3950.0,9,,3.5746
ORD080288,REST1149,CUST12551,COUR2017,-37.818826,144.95315680000002,2020-06-09,09:17:48,0,0,Car,"[('coffee', 2), ('egg roll', 2), ('masala tea', 2)]",10,92.88,3313.0,8,,3.6222
ORD068001,REST1149,CUST11535,COUR2743,-37.806078899999996,144.9974028,2020-01-20,06:19:46,0,0,Bike,"[('pav bhaji', 1), ('poha', 3), ('sandwiches', 3)]",40,85.092,3390.0,17,,4.6069
ORD053229,REST1563,CUST10954,COUR0038,-37.8076691,144.9481743,2020-07-18,11:48:07,0,1,Motorbike,"[('chicken biryani', 1), ('dal makhani', 2)]",20,50.008,2906.0,6,,4.0025
ORD050760,REST1149,CUST11061,COUR2918,-37.8067504,144.95299709999998,2020-07-30,10:48:47,0,0,Bike,"[('pav bhaji', 2), ('omelette', 3), ('french fries', 3)]",0,150.05,4061.0,20,,5.1362
ORD176994,REST1149,CUST13182,COUR2674,-37.80320379999999,144.9606775,2020-11-20,21:21:45,0,0,Bike,"[('egg roll', 2), ('poha', 1), ('coffee', 3)]",45,60.214,3628.0,18,,4.8191
ORD194566,REST1563,CUST09430,COUR2600,-37.8232037,144.9559011,2020-02-24,16:17:08,0,0,Motorbike,"[('murgh ghee roast', 1), ('chicken biryani', 1), ('dal makhani', 1)]",45,27.291,,5,,
ORD336705,REST0070,CUST03142,COUR3673,-37.81552070000001,144.9880593,2020-12-16,21:57:21,0,0,Bike,"[('babycorn manchurian', 3), ('coffee', 2), ('mango salad', 1)]",0,97.29,1957.0,10,,3.3293
ORD308373,REST1563,CUST13271,COUR4601,-37.8020841,144.960526,2020-12-29,08:46:09,0,0,Car,"[('dal makhani', 3), ('bamboo biryani', 2), ('chicken biryani', 3)]",0,142.04,2057.0,5,,3.4141
ORD199449,REST0070,CUST09984,COUR3573,-37.8054999,144.9565604,2020-05-02,10:44:50,0,1,Motorbike,"[('noodles', 2), ('mango salad', 1)]",40,23.748,1638.0,3,,4.0777
ORD343841,REST0538,CUST07081,COUR0328,-37.8037573,144.95630490000002,2020-01-11,04:56:42,0,1,Motorbike,"[('biryani', 2), ('chicken curry', 1), ('dragon chicken', 3)]",0,121.93,6543.0,13,,5.1777
ORD120147,REST0070,CUST04342,COUR1079,-37.8240755,144.9901132,2020-05-09,11:44:10,0,1,Motorbike,"[('noodles', 1), ('vegetarian', 1), ('veg fritters', 2)]",10,66.87,2584.0,5,,3.9025
ORD018255,REST1563,CUST01107,COUR4108,-37.8103794,145.0144404,2020-05-17,20:22:25,0,1,Motorbike,"[('chicken biryani', 1), ('garlic naan', 2), ('murgh ghee roast', 3), ('bamboo biryani', 2)]",10,75.195,4365.0,9,,4.9028
ORD205970,REST0172,CUST11612,COUR2028,-37.814941999999995,144.96060269999998,2020-04-27,07:46:48,0,0,Motorbike,"[('masala poori', 3), ('sev puri', 3)]",0,126.0,,9,,
ORD286588,REST0172,CUST13814,COUR0368,-37.8123737,144.9623874,2020-01-04,04:01:19,0,1,Car,"[('dahi aloo puri', 3), ('chaat', 3)]",0,137.79,4517.0,11,,4.6941
ORD169447,REST0538,CUST11419,COUR2643,-37.813309000000004,144.9514018,2020-04-22,08:10:32,0,0,Motorbike,"[('chicken curry', 2), ('chicken grill', 1), ('roti', 1), ('dragon chicken', 3)]",40,93.774,,14,,
ORD016801,REST1149,CUST07307,COUR3198,-37.8201061,144.95060959999998,2020-11-17,14:10:32,0,0,Bike,"[('coffee', 1), ('pav bhaji', 2), ('sandwiches', 1), ('french omelette', 3)]",0,100.13,3518.0,18,,4.7297
ORD081402,REST1149,CUST00273,COUR0696,-37.8194059,144.9714696,2020-03-25,04:29:00,0,0,Motorbike,"[('french omelette', 3), ('egg roll', 2), ('coffee', 2)]",0,96.93,,3,,
ORD233440,REST1563,CUST00878,COUR1422,-37.8134219,144.9533437,2020-02-27,10:13:11,0,0,Car,"[('chicken biryani', 2), ('murgh ghee roast', 2)]",45,29.755,2260.0,5,,3.1239
ORD297135,REST1563,CUST01035,COUR4816,-37.80557039999999,144.92714109999997,2020-04-03,00:11:52,0,0,Car,"[('chicken biryani', 2), ('murgh ghee roast', 2)]",0,54.1,,12,,
ORD213094,REST0070,CUST01117,COUR0125,-37.8055456,144.99921730000003,2020-06-14,05:44:10,0,1,Car,"[('mango salad', 3), ('babycorn manchurian', 3), ('veg fritters', 3)]",0,156.87,4789.0,11,,4.7082
ORD048780,REST0538,CUST09887,COUR3144,-37.8064151,144.98346930000002,2020-04-30,09:21:45,0,0,Car,"[('chicken curry', 3), ('biryani', 1), ('masala papad', 2), ('dragon chicken', 2)]",10,124.74,4171.0,10,,3.728
ORD332957,REST0538,CUST10833,COUR4256,-37.8006519,144.9269859,2020-08-01,21:37:34,0,1,Car,"[('masala papad', 1), ('biryani', 3), ('chicken curry', 1), ('chicken grill', 1)]",0,106.01,11295.0,27,,6.2704
ORD330116,REST0172,CUST07987,COUR2923,-37.812317900000004,144.9658842,2020-06-04,16:32:58,0,0,Bike,"[('chaat', 2), ('bhel puri', 3), ('dahipuri', 1)]",45,59.697,4916.0,25,,5.3283
ORD218427,REST0070,CUST04319,COUR2680,-37.8161528,144.9724208,2020-05-18,13:46:48,1,0,Bike,"[('babycorn manchurian', 2), ('mango salad', 1)]",10,51.102,614.0,3,,4.5004
ORD018183,REST1563,CUST09617,COUR3624,-37.823628799999994,144.9431858,2020-04-24,14:14:30,0,0,Bike,"[('garlic naan', 2), ('chicken biryani', 3)]",0,67.03,,18,,
ORD074188,REST0538,CUST03804,COUR3918,-37.8180086,144.9459158,2020-07-13,10:40:52,0,0,Car,"[('chicken grill', 1), ('biryani', 2), ('chicken curry', 3)]",0,128.59,7901.0,19,,4.5412
ORD004179,REST0538,CUST04368,COUR3049,-37.8216888,144.98423190000003,2020-04-13,03:49:27,0,0,Bike,"[('dragon chicken', 1), ('masala papad', 1), ('paratha', 2), ('chicken grill', 3)]",0,129.24,,24,,
ORD000634,REST0538,CUST08210,COUR2096,-37.81622279999999,145.0074469,2020-10-03,08:42:11,0,1,Bike,"[('chicken curry', 3), ('masala papad', 1), ('paratha', 3), ('biryani', 1)]",0,135.08,,12,,
ORD209614,REST0538,CUST08803,COUR3326,-37.80792,144.97319,2020-04-22,04:05:16,0,0,Car,"[('paratha', 1), ('roti', 3)]",0,82.81,4926.0,12,,3.9315
ORD100602,REST1149,CUST05030,COUR3306,-37.809577600000004,144.97265339999998,2020-03-31,08:58:01,0,0,Bike,"[('sandwiches', 1), ('poha', 3), ('french fries', 1)]",0,102.05,,12,,
ORD119636,REST0538,CUST07259,COUR4322,-37.8206946,144.9487901,2020-11-12,00:03:57,0,0,Motorbike,"[('roti', 1), ('masala papad', 2)]",0,32.89,7616.0,15,,4.2872
ORD074602,REST1563,CUST08506,COUR0054,-37.8157545,144.9369091,2020-04-26,20:42:11,0,1,Motorbike,"[('garlic naan', 1), ('bamboo biryani', 1), ('chicken biryani', 1), ('murgh ghee roast', 2)]",0,55.3,3940.0,8,,4.2884
ORD204761,REST0070,CUST13738,COUR4343,-37.818923600000005,144.9542636,2020-12-10,01:19:07,0,0,Car,"[('vegetarian', 2), ('coffee', 3)]",10,52.2,1704.0,4,,3.3441
ORD265646,REST0538,CUST03581,COUR3648,-37.79924929999999,144.97341569999998,2020-11-22,08:06:35,0,1,Motorbike,"[('roti', 3), ('dragon chicken', 3), ('chicken grill', 3)]",45,112.976,,11,,
ORD008887,REST1563,CUST06989,COUR0595,-37.8056348,144.953619,2020-05-29,23:00:39,0,0,Car,"[('bamboo biryani', 3), ('dal makhani', 2), ('garlic naan', 3), ('murgh ghee roast', 2)]",40,72.126,2240.0,5,,3.2881
ORD015110,REST0070,CUST07368,COUR1647,-37.8233768,144.969933,2020-09-16,03:13:50,0,0,Bike,"[('mango salad', 1), ('vegetarian', 3)]",20,47.08,1487.0,7,,3.247
ORD015805,REST1149,CUST06364,COUR4827,-37.8149472,144.9450208,2020-04-05,02:26:22,0,1,Car,"[('masala tea', 3), ('coffee', 3), ('poha', 2)]",45,86.317,,10,,
ORD027309,REST1149,CUST09618,COUR4618,-37.8236199,144.94296210000002,2020-11-25,09:17:48,0,0,Motorbike,"[('pav bhaji', 2), ('french fries', 3), ('coffee', 1)]",10,95.319,4093.0,8,,3.6614
ORD044706,REST1563,CUST09028,COUR4038,-37.8058785,144.98187439999998,2020-01-20,06:39:33,0,0,Motorbike,"[('murgh ghee roast', 1), ('bamboo biryani', 1), ('chicken biryani', 3)]",0,72.9,1283.0,3,,2.9871
ORD214755,REST0172,CUST12302,COUR0624,-37.811791,144.9565361,2020-12-16,03:29:40,0,0,Bike,"[('masala poori', 2), ('panipuri', 2)]",45,50.171,3849.0,19,,4.3172
ORD252744,REST0070,CUST13451,COUR3893,-37.8254373,144.98112700000001,2020-08-28,00:11:52,0,0,Motorbike,"[('mango salad', 3), ('laksa soup', 3), ('noodles', 3)]",45,48.774,,4,,
ORD133498,REST0538,CUST08978,COUR4700,-37.810675200000006,144.9588214,2020-10-28,02:34:17,0,0,Car,"[('biryani', 1), ('dragon chicken', 3)]",45,44.721,6298.0,15,,4.0459
ORD260233,REST0070,CUST12211,COUR4963,-37.8251658,144.95391659999999,2020-06-27,20:14:30,0,1,Bike,"[('veg fritters', 2), ('vegetarian', 3), ('coffee', 1)]",0,100.39,2905.0,15,,5.1144
ORD006323,REST1563,CUST03524,COUR0745,-37.820980600000006,145.00040380000002,2020-01-30,11:56:02,0,0,Car,"[('chicken biryani', 1), ('bamboo biryani', 2), ('dal makhani', 2), ('murgh ghee roast', 1)]",0,94.41,,7,,
ORD324894,REST0538,CUST10742,COUR1623,-37.813219399999994,144.9904666,2020-07-02,07:19:07,0,0,Motorbike,"[('paratha', 1), ('masala papad', 1), ('chicken curry', 1)]",10,38.214,,7,,
ORD176854,REST0172,CUST11578,COUR0790,-37.8195079,144.9530685,2020-09-10,21:53:24,0,0,Car,"[('sev puri', 3), ('panipuri', 2)]",0,106.42,3829.0,9,,3.7466
ORD305282,REST1149,CUST08222,COUR2057,-37.818618799999996,144.9991809,2020-06-06,13:50:46,1,1,Car,"[('egg roll', 1), ('omelette', 1)]",0,34.52,2204.0,5,,6.2815
ORD106765,REST0172,CUST06027,COUR4698,-37.8056975,144.94140910000002,2020-09-29,07:07:15,0,0,Car,"[('masala poori', 2), ('sev puri', 1), ('dahipuri', 1), ('dahi aloo puri', 3)]",0,151.89,,9,,
ORD321748,REST0172,CUST13744,COUR0520,-37.8160628,144.95295159999998,2020-11-28,17:32:18,0,1,Bike,"[('panipuri', 2), ('bhel puri', 3), ('dahi aloo puri', 1)]",45,68.855,3719.0,19,,5.3573
ORD022820,REST1563,CUST06701,COUR1264,-37.8069927,144.9729476,2020-01-16,12:11:52,1,0,Motorbike,"[('bamboo biryani', 3), ('murgh ghee roast', 3)]",40,37.422,709.0,1,,3.8918
ORD202603,REST0172,CUST12903,COUR0959,-37.8096098,144.95528090000002,2020-06-22,02:14:30,0,0,Bike,"[('dahipuri', 2), ('dahi aloo puri', 2)]",10,68.31,,19,,
ORD071881,REST0172,CUST06989,COUR1662,-37.8056348,144.953619,2020-10-01,07:15:09,0,0,Bike,"[('dahipuri', 1), ('masala poori', 1), ('vada pav', 2)]",20,55.152,,20,,
ORD042831,REST1563,CUST09707,COUR4397,-37.805050099999995,144.98798200000002,2020-06-21,01:50:46,0,1,Car,"[('garlic naan', 2), ('bamboo biryani', 3), ('dal makhani', 2), ('chicken biryani', 1)]",0,110.76,2062.0,5,,4.0507
ORD225337,REST0070,CUST13157,COUR4534,-37.815493599999996,144.93880890000003,2020-05-13,02:30:19,0,0,Motorbike,"[('vegetarian', 3), ('laksa soup', 3)]",10,63.504,3236.0,6,,3.2039
ORD154158,REST0070,CUST11024,COUR2075,-37.810649100000006,144.9494555,2020-02-24,10:13:11,0,0,Motorbike,"[('coffee', 3), ('veg fritters', 1), ('vegetarian', 1)]",0,61.11,2265.0,5,,3.0036
ORD138773,REST0538,CUST00752,COUR3827,-37.8129325,144.96121069999998,2020-02-26,12:47:28,1,0,Bike,"[('chicken curry', 3), ('paratha', 1), ('chicken grill', 3), ('roti', 3)]",0,224.86,6224.0,31,,7.2198
ORD068484,REST0172,CUST05565,COUR1628,-37.812325200000004,144.9480564,2020-04-12,17:56:02,0,1,Bike,"[('dahipuri', 1), ('bhel puri', 2)]",0,48.66,,25,,
ORD026886,REST1563,CUST03170,COUR2846,-37.81062670000001,144.9862685,2020-07-24,13:42:51,1,0,Bike,"[('dal makhani', 2), ('murgh ghee roast', 2), ('bamboo biryani', 3), ('garlic naan', 3)]",45,66.116,,7,,
ORD326547,REST1149,CUST01038,COUR3426,-37.808022799999996,144.93377990000002,2020-04-30,17:12:31,0,0,Car,"[('pav bhaji', 2), ('sandwiches', 2), ('french fries', 3), ('omelette', 1)]",0,151.61,,13,,
ORD225199,REST0538,CUST03430,COUR0757,-37.817948799999996,144.9905544,2020-02-01,20:50:06,0,1,Car,"[('biryani', 2), ('dragon chicken', 2), ('masala papad', 1)]",45,45.705,,10,,
ORD170898,REST0172,CUST05045,COUR4791,-37.80975120000001,144.9728269,2020-12-18,03:41:32,0,0,Bike,"[('dahipuri', 3), ('masala poori', 1), ('chaat', 2), ('panipuri', 3)]",0,173.77,5533.0,28,,5.7458
ORD284691,REST0538,CUST13236,COUR0125,-37.8210635,144.9782837,2020-07-01,05:12:31,0,0,Car,"[('biryani', 2), ('paratha', 3), ('roti', 3)]",0,147.77,5467.0,13,,3.7087
ORD313663,REST0172,CUST13524,COUR0217,-37.8148868,144.9647378,2020-03-07,15:25:42,0,1,Bike,"[('dahipuri', 3), ('sev puri', 1)]",40,35.412,,24,,
ORD240786,REST0538,CUST13810,COUR1949,-37.81166939999999,144.9647884,2020-09-26,22:13:11,0,1,Motorbike,"[('chicken curry', 1), ('roti', 2), ('masala papad', 2), ('paratha', 2)]",40,64.572,5851.0,12,,4.7503
ORD031061,REST0172,CUST12364,COUR0857,-37.8064905,144.9466055,2020-12-24,21:49:27,0,0,Motorbike,"[('bhel puri', 2), ('panipuri', 1), ('chaat', 2)]",0,101.13,3644.0,7,,3.4812
ORD247994,REST1149,CUST07355,COUR3246,-37.8234235,144.970257,2020-04-25,21:05:56,0,1,Car,"[('sandwiches', 1), ('pav bhaji', 3), ('poha', 1)]",40,50.22,1427.0,3,,4.5764
ORD133864,REST1563,CUST00029,COUR0057,-37.8150464,144.9718458,2020-04-12,23:28:21,0,1,Bike,"[('dal makhani', 2), ('garlic naan', 3)]",0,67.52,,2,,
ORD212603,REST1149,CUST08962,COUR0005,-37.8025292,144.99621969999998,2020-05-17,22:32:58,0,1,Motorbike,"[('chicken sandwich', 2), ('french omelette', 1)]",40,12.882,,7,,
ORD178833,REST1149,CUST09065,COUR4385,-37.798980900000004,144.9364074,2020-06-04,17:28:21,0,0,Motorbike,"[('omelette', 1), ('chicken sandwich', 3), ('masala tea', 3)]",45,50.776,,12,,
ORD287541,REST1149,CUST08066,COUR3686,-37.8199495,145.01447869999998,2020-04-22,03:33:37,0,0,Motorbike,"[('sandwiches', 3), ('french omelette', 2), ('french fries', 3)]",45,79.382,3552.0,7,,3.6201
ORD316821,REST0070,CUST09487,COUR1267,-37.80317,144.9571893,2020-11-25,02:30:19,0,0,Bike,"[('noodles', 2), ('babycorn manchurian', 3), ('mango salad', 1), ('veg fritters', 3)]",45,96.432,,10,,
ORD016886,REST1149,CUST03514,COUR4765,-37.811440000000005,144.93740269999998,2020-06-18,03:29:40,0,0,Car,"[('french omelette', 1), ('poha', 1), ('french fries', 1)]",0,48.84,5532.0,13,,4.3392
ORD126810,REST0172,CUST12140,COUR2659,-37.8234221,144.9571591,2020-10-06,23:04:36,0,0,Bike,"[('dahipuri', 3), ('bhel puri', 1), ('sev puri', 1)]",0,76.82,4770.0,24,,4.7398
ORD114533,REST0070,CUST01271,COUR4966,-37.8050795,144.9745234,2020-06-14,02:50:06,0,1,Bike,"[('noodles', 1), ('coffee', 1), ('mango salad', 3)]",40,27.126,1137.0,6,,4.2009
ORD072761,REST1149,CUST10947,COUR2000,-37.8065664,144.96673130000002,2020-02-10,03:13:50,0,0,Car,"[('french omelette', 2), ('pav bhaji', 2)]",45,25.619,2777.0,7,,3.6351
ORD018894,REST0538,CUST03704,COUR0728,-37.8071804,144.996243,2020-02-08,06:19:46,0,1,Bike,"[('masala papad', 1), ('chicken grill', 2)]",0,54.26,3089.0,15,,5.0866
ORD009552,REST1563,CUST00283,COUR4288,-37.7954792,144.936073,2020-08-14,06:19:46,0,0,Motorbike,"[('chicken biryani', 1), ('bamboo biryani', 3), ('dal makhani', 1)]",0,73.27,,9,,
ORD101582,REST1149,CUST03129,COUR1860,-37.8119739,144.986043,2020-01-23,16:48:47,0,0,Car,"[('poha', 1), ('coffee', 2)]",45,34.518,1803.0,4,,3.6153
ORD331379,REST1563,CUST02704,COUR3065,-37.7998792,144.9687102,2020-07-21,17:12:31,0,0,Bike,"[('murgh ghee roast', 3), ('garlic naan', 1), ('dal makhani', 3), ('chicken biryani', 2)]",40,83.37,1747.0,9,,3.6457
ORD127839,REST0172,CUST00473,COUR0626,-37.817646200000006,144.94868780000002,2020-06-08,11:56:02,0,0,Car,"[('bhel puri', 2), ('sev puri', 1), ('chaat', 3)]",40,71.136,,8,,
ORD023335,REST0538,CUST10273,COUR3515,-37.822195799999996,144.9539584,2020-10-31,02:18:27,0,1,Bike,"[('paratha', 2), ('dragon chicken', 3)]",10,83.421,7277.0,36,,7.4278
ORD002377,REST1149,CUST07132,COUR0808,-37.802533700000005,144.9445452,2020-04-01,08:26:22,0,0,Bike,"[('masala tea', 3), ('chicken sandwich', 2), ('omelette', 1)]",10,77.76,4874.0,24,,5.2855
ORD022466,REST0172,CUST03786,COUR2614,-37.8233203,144.93519619999998,2020-12-23,08:54:03,0,0,Motorbike,"[('dahipuri', 3), ('vada pav', 2)]",0,72.9,2427.0,5,,3.255
ORD029619,REST0070,CUST13769,COUR0247,-37.813225200000005,144.959461,2020-08-10,23:16:29,0,0,Motorbike,"[('veg fritters', 3), ('vegetarian', 3), ('babycorn manchurian', 3)]",10,168.804,,2,,
ORD153420,REST1563,CUST04962,COUR2633,-37.8121744,144.9738623,2020-10-09,17:20:26,0,0,Motorbike,"[('garlic naan', 3), ('dal makhani', 1), ('chicken biryani', 3), ('murgh ghee roast', 3)]",40,75.66,24.0,0,,2.2958
ORD201993,REST0070,CUST02647,COUR0668,-37.80953529999999,144.9558206,2020-05-31,16:21:05,0,1,Bike,"[('vegetarian', 1), ('noodles', 2), ('laksa soup', 1), ('coffee', 2)]",40,43.02,1597.0,8,,4.3994
ORD088568,REST0070,CUST07820,COUR1088,-37.8168593,144.98511530000002,2020-01-11,22:36:55,0,1,Motorbike,"[('vegetarian', 2), ('veg fritters', 1), ('babycorn manchurian', 2)]",0,104.66,1755.0,4,,4.0584
ORD038724,REST0070,CUST12768,COUR0628,-37.8163863,144.9671254,2020-10-13,09:41:32,0,0,Bike,"[('vegetarian', 1), ('noodles', 1)]",10,30.186,,4,,
ORD332092,REST0172,CUST01880,COUR2606,-37.8240695,144.98526280000002,2020-01-21,17:32:18,0,0,Car,"[('chaat', 1), ('panipuri', 3), ('bhel puri', 3)]",45,79.634,6696.0,16,,4.6014
ORD058789,REST0070,CUST03440,COUR0570,-37.8185787,144.99213,2020-10-18,20:06:35,0,1,Car,"[('veg fritters', 3), ('vegetarian', 3), ('noodles', 2), ('coffee', 2)]",0,161.13,2431.0,6,,4.23
ORD108976,REST1149,CUST06689,COUR3885,-37.8075566,144.9707945,2020-01-27,17:08:34,0,0,Motorbike,"[('sandwiches', 1), ('french omelette', 1), ('egg roll', 1), ('masala tea', 1)]",0,62.51,2624.0,5,,3.1317
ORD336438,REST0172,CUST06974,COUR3219,-37.8045815,144.9537947,2020-11-12,01:50:46,0,0,Car,"[('dahipuri', 2), ('vada pav', 3)]",0,76.7,,10,,
ORD136729,REST1149,CUST06772,COUR0024,-37.8039159,144.96996140000002,2020-11-09,17:40:13,0,0,Motorbike,"[('french fries', 1), ('pav bhaji', 3), ('masala tea', 3)]",0,112.81,,6,,
ORD336896,REST0070,CUST05778,COUR3706,-37.8093973,144.9378374,2020-03-29,04:44:50,0,1,Bike,"[('mango salad', 3), ('veg fritters', 1), ('vegetarian', 3)]",0,93.31,,17,,
ORD320079,REST1563,CUST09899,COUR1045,-37.8060137,144.98353219999998,2020-05-30,07:27:01,0,1,Car,"[('garlic naan', 1), ('dal makhani', 2)]",45,28.93,,4,,
ORD118118,REST1563,CUST12375,COUR3953,-37.8064157,144.94407859999998,2020-12-04,19:11:12,1,0,Motorbike,"[('chicken biryani', 3), ('dal makhani', 3), ('bamboo biryani', 2)]",20,113.632,3215.0,6,,5.1727
ORD186860,REST1149,CUST00014,COUR0973,-37.8146466,144.9578555,2020-01-19,20:58:01,0,1,Motorbike,"[('masala tea', 1), ('french omelette', 1), ('omelette', 2), ('sandwiches', 2)]",0,116.05,3077.0,6,,4.3742
ORD342985,REST0070,CUST10426,COUR2823,-37.8209532,144.9541158,2020-09-10,03:37:34,0,0,Bike,"[('babycorn manchurian', 2), ('mango salad', 1)]",20,45.424,2109.0,11,,3.6053
ORD065790,REST1149,CUST09244,COUR4728,-37.8105653,144.9642804,2020-10-12,18:23:44,1,0,Car,"[('masala tea', 1), ('egg roll', 2), ('chicken sandwich', 3)]",0,60.74,2688.0,6,,5.4705
ORD321784,REST0538,CUST00266,COUR1847,-37.8218255,144.97493590000002,2020-02-13,06:55:23,0,0,Bike,"[('paratha', 1), ('masala papad', 2), ('chicken grill', 2), ('dragon chicken', 1)]",10,85.599,5121.0,26,,5.0879
